ID,id2,Macroarea,counts_wals,Longitude,Latitude
mxt,ayut1236,North America,3,-99.16666667,16.91666667
NA,ayuu1242,Africa,0,8.60225,9.2634
NA,azha1235,Eurasia,0,104.15,23.9
NA,azhe1235,Eurasia,0,103.441,24.405
NA,azoy1236,North America,0,-98.5241,16.7584
NA,baan1241,Africa,0,7.30065,4.66709
NA,baan1242,Africa,0,5.7261,10.8083
brb,baat1238,Africa,12,2.5,10
NA,baaz1234,Africa,0,9.97124,6.80235
NA,baba1263,Africa,0,23.5851,1.79475
NA,baba1264,Africa,0,10.5216,6.11222
NA,baba1266,Africa,0,10.2869,5.97863
NA,baba1267,Eurasia,0,103.076,1.75414
sis,baba1268,Multinesia,35,156.8333333,-7
NA,baba1273,Africa,0,16.6925,12.7617
NA,babi1235,North America,0,-126.41,55.0997
NA,babu1240,Multinesia,0,120.585,24.0017
NA,baca1243,Multinesia,0,127.49,-0.62275
NA,baca1245,Africa,0,7.552557,10.69472
NA,baca1246,Africa,0,12.0416,9.53072
NA,bact1239,Eurasia,0,66.85,36.81
bdg,bada1257,Eurasia,1,76.75,11.66666667
NA,bada1258,Africa,0,9.95,9.62456
NA,bada1261,Multinesia,0,120.319,-1.80249
NA,bade1240,Eurasia,0,72.6823,35.2655
bad,bade1248,Africa,2,10.5,12.83333333
bdm,badi1246,Australia,29,118,-27.66666667
knb,badi1247,Multinesia,16,140.75,-8.833333333
NA,badj1244,Australia,0,145.47,-28.79
NA,badu1237,Multinesia,0,106.177,-6.35359
NA,bady1239,Africa,0,-13.4759,12.6425
NA,baeg1237,Multinesia,0,160.771,-8.49014
NA,bael1237,Multinesia,0,160.721,-8.41627
NA,baen1237,South America,0,-39.5552237,-15.352491
NA,baet1237,Multinesia,0,168.159,-15.2574
NA,bafa1247,Africa,0,9.522,4.53307
NA,bafa1249,Africa,0,10.4518,5.84612
bfi,bafi1243,Africa,14,11.16666667,5
NA,bafo1235,Africa,0,19.76,1.19
baf,bafu1246,Africa,26,9.916666667,6.25
NA,baga1270,Africa,0,-14.60521,10.76747
NA,baga1271,Africa,0,-12.887,9.951
bgs,baga1272,Africa,7,-14.5,10.5
NA,baga1273,Africa,0,-13.947,10.1286
NA,baga1274,Africa,0,-13.9054,9.98865
NA,baga1275,Africa,0,-14.6111,10.5271
NA,bagh1251,Eurasia,0,87.4994,24.6837
NA,bagi1244,Africa,0,18.3467,8.81656
bag,bagi1246,Africa,126,16,11.66666667
NA,bago1245,Africa,0,1.41214,8.52697
bgi,bagr1243,Eurasia,1,74.33333333,29.58333333
NA,bagu1251,Multinesia,0,137.914,-1.98844
NA,bagu1252,Multinesia,0,145.632,-5.07778
bgv,bagv1239,Eurasia,13,46.16666667,42.58333333
NA,baha1256,Eurasia,0,104.449,23.0105
NA,baha1257,Multinesia,0,115.332,0.30801
