sort	code_glot	type_src	id_RefLex	name	genus	family_wals	lat	long
179	sira1266	RefLex	1626	sira	Bantoid	Niger-Congo	-1.80	10.55
180	sang1333	RefLex	1627	sangu	Bantoid	Niger-Congo	-1.60	11.90
181	punu1239	RefLex	1629	punu	Bantoid	Niger-Congo	-2.70	11.30
182	lumb1249	RefLex	1630	lumbu	Bantoid	Niger-Congo	-3.15	10.70
183	ngub1239	RefLex	1631	ngubi	Bantoid	Niger-Congo	-1.92	9.32
184	duma1253	RefLex	1633	duma	Bantoid	Niger-Congo	-0.90	13.00
185	njeb1242	RefLex	1634	njebi	Bantoid	Niger-Congo	-1.45	12.55
186	tsaa1242	RefLex	1635	tsaangi	Bantoid	Niger-Congo	-2.80	12.70
187	wand1266	RefLex	1637	wandji	Bantoid	Niger-Congo	-1.55	12.85
188	omba1241	RefLex	1639	mbama	Bantoid	Niger-Congo	-2.70	13.65
189	ndum1239	RefLex	1640	ndumu	Bantoid	Niger-Congo	-1.70	13.75
190	kani1279	RefLex	1642	kaningi nord	Bantoid	Niger-Congo	-1.33	13.35
191	kani1279	RefLex	1643	kaningi	Bantoid	Niger-Congo	-1.70	13.60
192	teke1275	RefLex	1645	teke nord	Bantoid	Niger-Congo	-1.35611	14.50639
193	mbos1242	RefLex	1649	mbosi	Bantoid	Niger-Congo	-1.20	15.50
194	vili1238	RefLex	1650	vili	Bantoid	Niger-Congo	-4.70	12.00
195	ndut1239	RefLex	1658	ndut	Northern Atlantic	Niger-Congo	14.91	-16.98
196	nyam1276	RefLex	1673	nyamwezi	Bantoid	Niger-Congo	-3.00	32.90
197	pape1239	RefLex	1679	pepel	Central Atlantic	Niger-Congo	11.88	-15.83
198	ding1239	RefLex	1682	ding	Bantoid	Niger-Congo	-4.10	19.25
199	mpuo1241	RefLex	1684	mpuono	Bantoid	Niger-Congo	-5.00	19.40
200	yans1239	RefLex	1685	mputu	Bantoid	Niger-Congo	-4.30	18.80
201	nson1239	RefLex	1689	pindi	Bantoid	Niger-Congo	-5.00	18.50
202	saka1287	RefLex	1690	sakata	Bantoid	Niger-Congo	-3.00	18.15
203	yans1239	RefLex	1691	yansi	Bantoid	Niger-Congo	-4.00	18.40
204	eviy1235	RefLex	1701	viya	Bantoid	Niger-Congo	-1.21	10.65
205	kand1300	RefLex	1871	kande	Bantoid	Niger-Congo	0.00	11.75
206	yomb1244	RefLex	1872	yombe	Bantoid	Niger-Congo	-5.10	12.70
207	pinj1243	RefLex	1879	pinji	Bantoid	Niger-Congo	-1.93	11.22
208	kanu1279	RefLex	1932	kanuri	Saharan	Saharan	12.30	12.50
209	nugu1242	RefLex	1955	nugunu	Bantoid	Niger-Congo	4.60	11.25
210	gede1246	RefLex	1956	gedeo	Eastern Cushitic	Afro-Asiatic	6.20	38.20
211	yasa1242	RefLex	1980	yasa	Bantoid	Niger-Congo	2.45	9.85
212	kagu1239	RefLex	2090	kagulu	Bantoid	Niger-Congo	-6.35	37.10
213	mako1251	RefLex	2092	makonde	Bantoid	Niger-Congo	-11.00	39.50
214	curr1242	RefLex	2095	manjaku-Churo	Central Atlantic	Niger-Congo	12.34	-16.00
215	teix1238	RefLex	2096	manjaku-Pecixe	Central Atlantic	Niger-Congo	11.83	-16.08
216	kobi1241	RefLex	2100	buy (kobiana)	Northern Atlantic	Niger-Congo	12.43	-15.97
217	kasa1248	RefLex	2101	buy (kasanga)	Northern Atlantic	Niger-Congo	12.39	-15.92
218	bain1259	RefLex	2102	nyun-gujaxer (Kasa)	Northern Atlantic	Niger-Congo	12.51	-16.00
219	tand1252	RefLex	2105	tanda	Northern Atlantic	Niger-Congo	11.30	-15.42
220	toch1257	RefLex	2124	tocho	Talodi Proper	Talodi Proper	10.89	30.16
221	bang1363	RefLex	2263	bangeri-me	Bangime	Bangime	14.90	-3.70
222	miya1266	RefLex	2458	miya	West Chadic	Afro-Asiatic	10.92	9.72
223	saya1246	RefLex	2474	zaar	West Chadic	Afro-Asiatic	9.69	9.75
224	luri1256	RefLex	2497	luri	West Chadic	Afro-Asiatic	10.07	9.59
225	mand1436	RefLex	2498	mandinka	Western Mande	Niger-Congo	13.40	-15.80
226	dass1243	RefLex	2499	zodi (dott)	West Chadic	Afro-Asiatic	10.02	9.52
227	kwas1243	RefLex	2500	shiwa	Bantoid	Niger-Congo	-0.1	11.93
228	zara1252	RefLex	2503	buu (zaranda)	West Chadic	Afro-Asiatic	10.23	9.52
229	sigi1234	RefLex	2504	guus (sigidi)	West Chadic	Afro-Asiatic	9.67	9.35
230	beja1238	RefLex	2505	bedja (bedawi)	Beja	Afro-Asiatic	19.00	36.00
231	karo1294	RefLex	2506	joola karon	Central Atlantic	Niger-Congo	12.80	-16.69
232	tega1236	RefLex	2512	orig	Rashad	Rashad	11.85	31.00
233	buam1238	RefLex	2513	bwamu	Gur	Niger-Congo	12.22	-3.80
234	tula1252	RefLex	2557	tula	Adamawa	Niger-Congo	9.85	11.52
235	mwag1236	RefLex	2579	sura	West Chadic	Afro-Asiatic	9.48	9.00
236	nyox1238	RefLex	2580	malinke (maninka ouest)	Western Mande	Niger-Congo	13.26	-12.90
237	mbun1248	RefLex	2582	mbunga	Bantoid	Niger-Congo	-8.20	36.60
238	gube1234	RefLex	2586	nyun (Djibonker)	Northern Atlantic	Niger-Congo	12.53	-16.35
239	ndam1239	RefLex	2592	ndamba	Bantoid	Niger-Congo	-8.50	35.80
240	pula1262	RefLex	2594	peul (Fuuta Jalon)	Northern Atlantic	Niger-Congo	11.29	-11.96
241	yang1293	RefLex	2626	yangben	Bantoid	Niger-Congo	4.40	11.00
242	luok1236	RefLex	2669	luo	Nilotic	Nilotic	-0.70	34.45
243	pana1295	RefLex	2710	pana	Gur	Niger-Congo	13.25	-3.30
244	nucl1692	RefLex	2715	gyannzi (geeji)	West Chadic	Afro-Asiatic	10.32	9.62
245	juho1239	RefLex	2717	ju?'hoan	Kxa	Kxa	-19.70	21.00
246	ader1239	RefLex	2718	hausa de l'Ader	West Chadic	Afro-Asiatic	15.00	5.00
247	tsam1247	RefLex	2721	tsamai	Eastern Cushitic	Afro-Asiatic	5.35	36.90
248	shek1245	RefLex	2723	sheko	Dizoid	Dizoid	7.05	35.25
249	toro1252	RefLex	2724	toro-so	Dogon	Niger-Congo	14.35	-3.20
250	toro1253	RefLex	2725	toro tegu	Dogon	Niger-Congo	15.00	-2.20
251	bent1238	RefLex	2726	Ben Tey	Dogon	Niger-Congo	12.90	-4.60
252	yand1257	RefLex	2727	yanda dom	Dogon	Niger-Congo	14.39	-3.09
253	jams1239	RefLex	2728	jamsay	Dogon	Niger-Congo	14.50	-2.50
254	nang1261	RefLex	2731	nanga-dama	Dogon	Niger-Congo	14.48	-3.01
255	bank1259	RefLex	2732	Bankan-Tey	Dogon	Niger-Congo	14.90	-3.00
256	bond1248	RefLex	2733	bondum dom	Dogon	Niger-Congo	14.95	-3.40
257	tomo1243	RefLex	2734	tommo so	Dogon	Niger-Congo	14.75	-3.25
258	tene1248	RefLex	2735	tene kan	Dogon	Niger-Congo	14.10	-3.20
259	momb1254	RefLex	2736	mombo	Dogon	Niger-Congo	14.50	-3.90
260	maas1239	RefLex	2737	peul (Maasina)	Northern Atlantic	Niger-Congo	15.50	-3.50
